start
time Gaze_x    Gaze_y    Contents
58   0.879096855362263 0.440860399189319    8
59   0.875239480774098 0.446690878681807    8
60   0.879167750553052 0.425860362074673    8
61   0.875387392461107 0.441964666242598    8
62   0.871947635195966 0.44978941122065    8
63   0.876904896466385 0.438414075569654    8
64   0.876188342334444 0.43308200983131    8
65   0.871317860406293 0.433544277479655    8
66   0.876355084451802 0.441338221477281    8
67   0.879141966815951 0.43983032137362    8
68   0.878861099713959 0.435334235377127    8
69   0.878807138712773 0.431492828832234    8
70   0.882054106787109 0.446406341071565    8
71   0.879630929156633 0.438908612179603    8
72   0.877755887915441 0.445753232985908    8
73   0.872525172991914 0.426635524624771    8
74   0.872303766387631 0.428030847618743    8
75   0.874754275993496 0.435783780146494    8
76   0.871130387140852 0.451574397315085    8
77   0.87526643192416 0.443353847695903    8
78   0.877542853024124 0.447413222693513    8
79   0.876148130113734 0.433859226825916    8
80   0.876875979590864 0.436113002669117    8
81   0.88265316290483 0.437803215482859    8
82   0.877078790717519 0.451374264843025    8
83   0.877612054449287 0.458659232344417    8
84   0.870956790922037 0.448484236691229    8
85   0.875352016736997 0.44202445953556    8
86   0.876335202467772 0.446492504683079    8
87   0.874656331419374 0.441468555450001    8
88   0.873497059236342 0.442019682789692    8
89   0.876446499080316 0.443544437827086    8
90   0.872923230133324 0.434312630902809    8
91   0.872000579586938 0.434501731858177    8
92   0.845921607624177 0.460092306532829    8
93   0.843093556119698 0.471500446927166    8
94   0.843821494959116 0.471634146454562    8
95   0.846922906090981 0.446921072791724    8
96   0.838983749282534 0.464352856373807    8
97   0.836361690689046 0.454076854246068    8
98   0.842838630154461 0.452815904379463    8
99   0.84553413843912 0.455991398654078    8
100   0.840102051260033 0.460758703126658    8
101   0.835235495234656 0.470242582407423    8
102   0.841194249431965 0.46771649352138    8
103   0.844399135955996 0.452799302630979    8
104   0.832234587169296 0.468886151240326    8
105   0.838375397713094 0.453329587315693    8
106   0.831585383041329 0.470728932260499    8
107   0.847230853450696 0.454874948326392    8
108   0.838345761585515 0.471371228809289    8
109   0.842215820988258 0.471848808088794    8
110   0.831110659798583 0.46953067657023    8
