start


confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=134 , Y=624],  error Point2D [X=-58 , Y=24]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=141 , Y=625],  error Point2D [X=-51 , Y=25]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=87 , Y=535],  error Point2D [X=-105 , Y=-65]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=141 , Y=628],  error Point2D [X=-51 , Y=28]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=92 , Y=549],  error Point2D [X=-100 , Y=-51]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=86 , Y=546],  error Point2D [X=-106 , Y=-54]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=135 , Y=630],  error Point2D [X=-57 , Y=30]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=85 , Y=535],  error Point2D [X=-107 , Y=-65]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=151 , Y=635],  error Point2D [X=-41 , Y=35]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=142 , Y=645],  error Point2D [X=-50 , Y=45]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=128 , Y=641],  error Point2D [X=-64 , Y=41]


confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1792 , Y=629],  error Point2D [X=64 , Y=29]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1800 , Y=643],  error Point2D [X=72 , Y=43]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1805 , Y=607],  error Point2D [X=77 , Y=7]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1819 , Y=623],  error Point2D [X=91 , Y=23]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1804 , Y=630],  error Point2D [X=76 , Y=30]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1803 , Y=613],  error Point2D [X=75 , Y=13]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1821 , Y=590],  error Point2D [X=93 , Y=-10]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1790 , Y=606],  error Point2D [X=62 , Y=6]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1810 , Y=616],  error Point2D [X=82 , Y=16]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1817 , Y=607],  error Point2D [X=89 , Y=7]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1805 , Y=619],  error Point2D [X=77 , Y=19]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1804 , Y=621],  error Point2D [X=76 , Y=21]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1804 , Y=626],  error Point2D [X=76 , Y=26]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1804 , Y=604],  error Point2D [X=76 , Y=4]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1812 , Y=602],  error Point2D [X=84 , Y=2]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1817 , Y=610],  error Point2D [X=89 , Y=10]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1804 , Y=614],  error Point2D [X=76 , Y=14]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1789 , Y=608],  error Point2D [X=61 , Y=8]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1788 , Y=606],  error Point2D [X=60 , Y=6]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1779 , Y=620],  error Point2D [X=51 , Y=20]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1788 , Y=582],  error Point2D [X=60 , Y=-18]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1767 , Y=592],  error Point2D [X=39 , Y=-8]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1782 , Y=612],  error Point2D [X=54 , Y=12]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1789 , Y=619],  error Point2D [X=61 , Y=19]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1779 , Y=600],  error Point2D [X=51 , Y=0]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1787 , Y=588],  error Point2D [X=59 , Y=-12]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1782 , Y=602],  error Point2D [X=54 , Y=2]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1777 , Y=592],  error Point2D [X=49 , Y=-8]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1777 , Y=579],  error Point2D [X=49 , Y=-21]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1784 , Y=590],  error Point2D [X=56 , Y=-10]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1783 , Y=603],  error Point2D [X=55 , Y=3]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1772 , Y=604],  error Point2D [X=44 , Y=4]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1773 , Y=627],  error Point2D [X=45 , Y=27]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1771 , Y=596],  error Point2D [X=43 , Y=-4]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1779 , Y=599],  error Point2D [X=51 , Y=-1]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1783 , Y=611],  error Point2D [X=55 , Y=11]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1780 , Y=597],  error Point2D [X=52 , Y=-3]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1777 , Y=577],  error Point2D [X=49 , Y=-23]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1778 , Y=589],  error Point2D [X=50 , Y=-11]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1772 , Y=599],  error Point2D [X=44 , Y=-1]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1783 , Y=583],  error Point2D [X=55 , Y=-17]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1776 , Y=599],  error Point2D [X=48 , Y=-1]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1766 , Y=629],  error Point2D [X=38 , Y=29]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1763 , Y=644],  error Point2D [X=35 , Y=44]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1781 , Y=584],  error Point2D [X=53 , Y=-16]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1774 , Y=571],  error Point2D [X=46 , Y=-29]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1776 , Y=586],  error Point2D [X=48 , Y=-14]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1775 , Y=586],  error Point2D [X=47 , Y=-14]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1795 , Y=591],  error Point2D [X=67 , Y=-9]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1782 , Y=592],  error Point2D [X=54 , Y=-8]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1764 , Y=599],  error Point2D [X=36 , Y=-1]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1763 , Y=605],  error Point2D [X=35 , Y=5]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1765 , Y=616],  error Point2D [X=37 , Y=16]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1779 , Y=637],  error Point2D [X=51 , Y=37]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1771 , Y=621],  error Point2D [X=43 , Y=21]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1789 , Y=572],  error Point2D [X=61 , Y=-28]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1792 , Y=605],  error Point2D [X=64 , Y=5]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1772 , Y=620],  error Point2D [X=44 , Y=20]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1780 , Y=605],  error Point2D [X=52 , Y=5]
confirmPoint2D [X=1728 , Y=600],  GazePoint2D [X=1781 , Y=611],  error Point2D [X=53 , Y=11]


confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=970 , Y=1130],  error Point2D [X=10 , Y=50]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=970 , Y=1104],  error Point2D [X=10 , Y=24]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=958 , Y=1137],  error Point2D [X=-2 , Y=57]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=979 , Y=1141],  error Point2D [X=19 , Y=61]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=976 , Y=1110],  error Point2D [X=16 , Y=30]
